Recency,Frequency,Monetary,Country,Churn
30,3,915.93,Spain,0
36,1,346.6,Spain,0
75,2,922.0899999999999,Spain,0
47,2,1096.25,Spain,0
198,2,181.7,Spain,1
166,1,82.14999999999999,Spain,1
79,1,899.58,Spain,0
358,1,168.0,Spain,1
39,2,362.66999999999996,Italy,0
8,10,3622.13,France,0
50,2,599.56,Spain,0
16,5,6624.54,Spain,0
8,1,269.96,USA,0
311,2,555.61,Germany,1
5,3,2095.41,Germany,0
303,1,238.85,Germany,1
8,7,3698.64,France,0
261,1,441.75,France,1
289,1,145.92,Saudi Arabia,1
86,1,342.5,Germany,0
23,10,9129.08,France,0
2,32,3959.99,Germany,0
40,2,519.61,France,0
9,2,998.62,Germany,0
227,1,160.54000000000002,France,1
316,1,212.35,France,1
36,5,1298.83,Poland,0
35,3,626.6,France,0
21,2,2611.81,Italy,0
78,1,431.27,France,0
247,1,409.59999999999997,Germany,1
40,1,194.66,Germany,0
239,2,411.15999999999997,Finland,1
3,15,7109.38,France,0
4,9,2273.0,Italy,0
234,2,1949.6599999999999,Germany,1
17,1,196.94000000000003,Italy,0
8,1,118.95,Finland,0
39,1,189.85,Finland,0
29,2,634.48,France,0
211,2,9044.210000000001,Germany,1
317,1,413.7,Italy,1
92,2,431.5,Germany,1
109,3,412.0,France,1
38,10,3282.9700000000003,Italy,0
51,2,539.97,Spain,0
19,4,3516.42,Spain,0
10,8,2986.48,France,0
29,7,1008.18,France,0
29,10,2550.2400000000002,Germany,0
190,5,536.8100000000001,Germany,1
59,1,153.12,France,0
22,1,717.8499999999999,Germany,0
79,2,251.13,France,0
60,1,1577.51,USA,0
78,3,1099.4,Germany,0
23,5,1889.04,Italy,0
52,1,1135.72,Italy,0
74,1,697.94,Germany,0
57,5,3301.68,Germany,0
278,1,315.6,Germany,1
2,4,2257.64,France,0
95,2,701.1,France,1
29,1,352.98,France,0
22,1,152.26,Italy,0
16,9,3099.7799999999997,Germany,0
15,3,1333.31,France,0
2,20,13264.52,Germany,0
232,1,177.05,Germany,1
276,1,299.0,Germany,1
106,2,628.9300000000001,France,1
212,2,2638.07,Germany,1
23,9,6507.63,Germany,0
11,7,4423.83,Germany,0
4,3,777.31,Germany,0
10,2,1118.58,Finland,0
57,1,540.3,Finland,0
59,4,2039.53,Germany,0
90,2,1666.68,Germany,0
67,8,5924.349999999999,France,0
33,1,571.49,Sweden,0
239,1,410.95,Sweden,1
24,3,1140.08,France,0
115,1,160.85,Sweden,1
25,3,992.96,Germany,0
128,6,2503.7,France,1
130,1,477.91,Germany,1
34,4,1750.78,Germany,0
5,2,1346.97,USA,0
22,12,3602.22,Germany,0
155,1,315.0,Germany,1
107,3,618.68,Germany,1
3,1,302.24,France,0
335,1,114.0,France,1
331,1,898.63,France,1
149,2,2209.85,Israel,1
11,5,589.78,Germany,0
17,5,3967.97,France,0
11,4,1497.38,France,0
19,1,676.9,Germany,0
30,1,88.63,France,0
11,1,242.05,France,0
1,11,3782.9300000000003,Germany,0
8,9,4616.13,Finland,0
325,1,59.95,Germany,1
58,1,519.93,Finland,0
12,4,3700.4,Germany,0
151,3,1590.1799999999998,France,1
10,5,2953.35,France,0
330,1,225.89999999999998,France,1
5,2,604.42,Germany,0
39,4,1949.25,France,0
25,6,1181.09,Sweden,0
42,12,13843.31,France,0
59,4,1085.57,France,0
1,4,850.61,France,0
15,22,13546.59,France,0
4,31,11894.48,France,0
4,15,8335.17,France,0
8,7,2244.39,France,0
28,6,2814.28,France,0
372,1,86.09,France,1
114,1,4643.54,Israel,1
26,2,1229.31,France,0
206,1,379.86,France,1
28,6,1017.5,France,0
127,4,831.51,Germany,1
70,2,851.37,France,0
7,4,582.1,France,0
29,3,832.34,Sweden,0
8,4,4869.84,France,0
80,2,781.51,Germany,0
20,1,215.95000000000002,Germany,0
71,1,280.5,Germany,0
7,8,1955.09,Finland,0
15,9,6790.74,Germany,0
292,1,603.42,France,1
30,10,2663.16,Germany,0
15,15,9654.67,Germany,0
97,3,1127.67,Germany,1
29,13,4306.78,Germany,0
1,1,839.4,Germany,0
9,5,4638.71,France,0
106,1,293.26,Sweden,1
4,2,1038.24,France,0
151,2,865.78,Greece,1
71,1,232.15,France,0
5,2,632.75,France,0
3,25,5659.52,Germany,0
32,6,2607.2599999999998,France,0
85,4,986.5799999999999,France,0
4,5,712.02,France,0
5,4,1013.11,France,0
371,1,401.7,Italy,1
28,7,2561.87,France,0
11,7,3894.0,France,0
71,4,818.03,France,0
114,1,446.91,France,1
24,12,18505.85,France,0
180,1,233.21,France,1
234,1,383.95,USA,1
353,1,110.39999999999999,France,1
315,2,763.3199999999999,France,1
333,1,218.75,France,1
372,1,152.29999999999998,Germany,1
78,2,990.49,United Arab Emirates,0
64,1,427.6,France,0
134,2,538.13,Unspecified,1
52,7,8862.49,Singapore,0
2,11,4195.01,United Kingdom,0
1,209,30934.77,United Kingdom,0
4,5,4055.83,United Kingdom,0
129,1,275.88,Poland,1
81,1,4366.78,Norway,0
23,6,21241.47,Japan,0
236,3,1081.38,Japan,1
281,2,323.55,Japan,1
87,1,112.07999999999998,Japan,0
16,13,4178.95,Portugal,0
117,2,2791.59,Portugal,1
52,3,1523.04,Netherlands,0
8,2,1807.17,Portugal,0
138,2,494.08,Japan,1
317,1,1693.88,Lebanon,1
4,7,6741.68,Portugal,0
239,1,1143.6,Brazil,1
211,1,1351.45,Japan,1
60,1,827.22,Portugal,0
17,5,1383.69,Netherlands,0
20,6,812.83,Netherlands,0
38,8,3981.36,Poland,0
64,2,801.6899999999999,Czech Republic,0
5,5,2148.2200000000003,Portugal,0
2,6,1490.22,Portugal,0
9,2,506.71999999999997,Portugal,0
364,1,283.85,Portugal,1
10,3,463.51,Netherlands,0
65,1,59.8,Netherlands,0
192,1,324.82,Netherlands,1
374,1,192.55,Netherlands,1
257,1,374.44,Portugal,1
335,2,506.33,Portugal,1
53,2,860.41,Portugal,0
19,1,378.28,Portugal,0
366,1,240.98,Portugal,1
10,3,988.32,Japan,0
187,1,427.48,Netherlands,1
37,3,470.6,Portugal,0
178,1,450.16,Portugal,1
261,3,489.75,Portugal,1
45,1,229.64000000000001,Japan,0
102,1,100.87,Poland,1
148,2,938.21,Poland,1
96,2,470.05,Poland,1
281,1,140.99,Austria,1
262,1,1112.15,Austria,1
3,4,942.34,United Kingdom,0
214,1,92.72,United Kingdom,1
71,2,948.88,United Kingdom,0
75,5,1759.5,United Kingdom,0
60,1,397.12,United Kingdom,0
3,7,1474.72,United Kingdom,0
6,3,430.15000000000003,United Kingdom,0
3,6,1016.71,United Kingdom,0
337,2,222.0,United Kingdom,1
38,6,3857.1200000000003,United Kingdom,0
262,1,215.05,United Kingdom,1
32,2,383.03,United Kingdom,0
145,1,417.38,United Kingdom,1
283,1,312.38,United Kingdom,1
59,4,2590.36,United Kingdom,0
173,1,132.1,United Kingdom,1
34,2,669.95,United Kingdom,0
3,14,5591.42,United Kingdom,0
144,4,2726.77,United Kingdom,1
5,25,3981.58,United Kingdom,0
70,2,1068.94,United Kingdom,0
66,8,1702.26,United Kingdom,0
29,2,325.96000000000004,United Kingdom,0
267,4,319.29,United Kingdom,1
22,1,843.64,United Kingdom,0
31,2,1010.29,United Kingdom,0
97,1,129.81,United Kingdom,1
295,1,311.55,United Kingdom,1
135,6,1957.1000000000001,United Kingdom,1
79,3,1316.25,United Kingdom,0
373,1,38.1,United Kingdom,1
8,6,2170.78,United Kingdom,0
211,2,1106.4,United Kingdom,1
52,1,521.2,United Kingdom,0
138,1,127.19999999999999,United Kingdom,1
26,2,1554.23,Austria,0
283,1,558.92,Belgium,1
26,7,4009.34,United Kingdom,0
186,6,1607.0600000000002,United Kingdom,1
84,2,380.64,United Kingdom,0
327,2,599.97,United Kingdom,1
282,1,374.0,United Kingdom,1
143,2,40.800000000000004,United Kingdom,1
58,2,2217.47,Belgium,0
4,12,1535.77,United Kingdom,0
236,2,854.99,United Kingdom,1
45,3,573.22,United Kingdom,0
276,1,117.95,United Kingdom,1
9,2,1463.04,United Kingdom,0
25,4,701.47,United Kingdom,0
88,1,168.95,United Kingdom,0
63,3,1169.22,United Kingdom,0
68,2,1378.4,United Kingdom,0
214,2,354.12,United Kingdom,1
24,1,376.71999999999997,United Kingdom,0
186,3,123.60000000000001,United Kingdom,1
31,1,176.55,United Kingdom,0
42,2,372.8,United Kingdom,0
205,2,216.5,United Kingdom,1
9,28,6661.32,United Kingdom,0
265,1,134.68,United Kingdom,1
18,2,496.06,United Kingdom,0
12,5,2911.33,United Kingdom,0
176,2,150.0,United Kingdom,1
40,5,1766.52,United Kingdom,0
23,8,3075.04,United Kingdom,0
3,5,1662.3,United Kingdom,0
5,5,2483.53,United Kingdom,0
149,2,363.65,United Kingdom,1
139,4,2944.95,United Kingdom,1
128,1,594.0,United Kingdom,1
8,6,1335.19,United Kingdom,0
17,1,158.78,United Kingdom,0
9,37,16587.09,United Kingdom,0
161,1,405.38,United Kingdom,1
64,1,172.82,United Kingdom,0
88,4,908.26,United Kingdom,0
5,2,694.0,United Kingdom,0
35,5,2042.54,United Kingdom,0
312,1,117.85,United Kingdom,1
78,2,415.8,United Kingdom,0
22,15,15100.46,United Kingdom,0
24,3,615.53,United Kingdom,0
2,7,2160.7,United Kingdom,0
17,4,1063.9,United Kingdom,0
15,4,1504.27,United Kingdom,0
26,1,114.14,United Kingdom,0
64,8,9705.12,United Kingdom,0
55,2,894.69,United Kingdom,0
131,3,673.6,United Kingdom,1
36,2,604.51,United Kingdom,0
288,1,462.95,United Kingdom,1
144,6,1499.89,United Kingdom,1
16,7,2064.95,United Kingdom,0
31,8,4167.22,United Kingdom,0
2,3,1785.4,United Kingdom,0
9,6,1062.07,United Kingdom,0
6,4,1379.79,United Kingdom,0
10,1,319.8,United Kingdom,0
1,11,4757.16,United Kingdom,0
306,1,106.07,United Kingdom,1
10,8,4018.42,United Kingdom,0
7,2,266.39,United Kingdom,0
8,8,1856.63,United Kingdom,0
89,1,769.8100000000001,United Kingdom,0
10,1,160.18,United Kingdom,0
358,2,1480.9,United Kingdom,1
112,1,135.95,United Kingdom,1
7,4,405.47,United Kingdom,0
4,86,10751.19,United Kingdom,0
198,1,139.8,United Kingdom,1
212,1,738.6,United Kingdom,1
156,1,34.19,United Kingdom,1
158,9,4372.18,United Kingdom,1
30,2,372.21999999999997,United Kingdom,0
243,1,390.54,United Kingdom,1
19,1,97.5,United Kingdom,0
1,2,1230.86,United Kingdom,0
74,2,523.7,United Kingdom,0
292,1,505.82,United Kingdom,1
3,15,5583.71,United Kingdom,0
31,3,409.5,United Kingdom,0
23,2,503.76,United Kingdom,0
23,4,414.76,United Kingdom,0
4,3,974.4200000000001,United Kingdom,0
85,1,211.32,United Kingdom,0
22,4,1204.45,United Kingdom,0
196,3,455.88,United Kingdom,1
107,3,534.85,United Kingdom,1
4,13,9405.45,United Kingdom,0
318,1,120.94999999999999,United Kingdom,1
106,3,149.05,United Kingdom,1
12,18,5655.91,United Kingdom,0
174,2,513.7,United Kingdom,1
56,1,81.57,United Kingdom,0
323,1,229.46999999999997,United Kingdom,1
372,1,50.550000000000004,United Kingdom,1
9,8,1646.8400000000001,United Kingdom,0
1,13,4810.9400000000005,United Kingdom,0
11,10,3466.2799999999997,United Kingdom,0
53,5,3057.59,United Kingdom,0
73,3,781.89,United Kingdom,0
7,1,204.0,United Kingdom,0
16,28,7274.3,United Kingdom,0
4,9,2586.38,United Kingdom,0
64,2,689.6,United Kingdom,0
1,5,915.6,United Kingdom,0
114,6,1248.0,United Kingdom,1
23,2,661.3199999999999,United Kingdom,0
31,3,947.5,United Kingdom,0
11,2,740.74,United Kingdom,0
52,2,1010.18,United Kingdom,0
357,1,190.55,United Kingdom,1
55,2,642.77,United Kingdom,0
74,2,921.88,United Kingdom,0
138,3,881.07,United Kingdom,1
80,3,908.46,United Kingdom,0
9,2,676.99,United Kingdom,0
273,1,516.42,United Kingdom,1
291,1,560.47,United Kingdom,1
99,1,305.28000000000003,United Kingdom,1
31,2,559.26,United Kingdom,0
32,10,3237.54,United Kingdom,0
14,4,1819.41,United Kingdom,0
64,2,656.6800000000001,United Kingdom,0
15,17,5811.86,United Kingdom,0
212,1,348.15000000000003,United Kingdom,1
78,3,1214.41,United Kingdom,0
25,3,271.40000000000003,United Kingdom,0
250,1,183.4,United Kingdom,1
254,1,307.53,United Kingdom,1
72,1,248.61,United Kingdom,0
191,1,311.65,United Kingdom,1
13,4,1100.59,United Kingdom,0
373,1,205.86,United Kingdom,1
24,2,460.8,United Kingdom,0
82,1,115.46000000000001,United Kingdom,0
10,2,344.0,United Kingdom,0
1,24,4140.8,United Kingdom,0
192,1,228.8,United Kingdom,1
267,1,177.15,United Kingdom,1
130,1,919.61,United Kingdom,1
1,4,728.02,United Kingdom,0
3,26,12209.54,United Kingdom,0
4,5,220.10000000000002,United Kingdom,0
179,1,58.08,United Kingdom,1
12,11,28303.06,United Kingdom,0
126,9,2305.31,United Kingdom,1
4,2,301.75,United Kingdom,0
158,2,416.08000000000004,United Kingdom,1
3,97,57622.36,United Kingdom,0
9,14,8893.77,United Kingdom,0
28,1,345.82,United Kingdom,0
71,5,485.83,United Kingdom,0
276,8,7832.47,United Kingdom,1
21,12,1876.44,United Kingdom,0
71,1,74.39999999999999,United Kingdom,0
33,10,5969.22,United Kingdom,0
1,28,28316.3,United Kingdom,0
99,1,86.39999999999999,United Kingdom,1
234,1,101.19,United Kingdom,1
1,24,6381.13,United Kingdom,0
40,1,243.94,United Kingdom,0
3,6,1098.48,United Kingdom,0
133,1,76.5,United Kingdom,1
44,4,1531.6200000000001,United Kingdom,0
373,1,350.06,United Kingdom,1
60,2,786.54,United Kingdom,0
31,7,1484.67,United Kingdom,0
1,24,11565.960000000001,United Kingdom,0
12,4,2244.78,United Kingdom,0
138,1,499.14,United Kingdom,1
22,8,964.87,United Kingdom,0
20,5,1187.76,United Kingdom,0
239,1,30.599999999999998,United Kingdom,1
269,1,283.73,United Kingdom,1
94,2,922.39,United Kingdom,1
90,3,3731.33,United Kingdom,0
5,8,2094.44,United Kingdom,0
78,1,259.17,United Kingdom,0
94,1,64.0,United Kingdom,1
23,3,1073.3,United Kingdom,0
262,1,77.3,United Kingdom,1
274,2,109.8,United Kingdom,1
86,4,1793.58,United Kingdom,0
197,1,86.39999999999999,United Kingdom,1
56,5,2607.61,United Kingdom,0
11,8,3603.29,United Kingdom,0
22,6,962.39,United Kingdom,0
16,7,5064.94,United Kingdom,0
108,3,422.47,United Kingdom,1
85,5,2389.25,United Kingdom,0
19,1,307.09,United Kingdom,0
333,1,110.95,United Kingdom,1
40,4,338.47,United Kingdom,0
26,1,228.91,United Kingdom,0
10,4,712.8000000000001,United Kingdom,0
29,12,3668.26,United Kingdom,0
14,4,1676.06,United Kingdom,0
296,1,1237.8700000000001,United Kingdom,1
6,1,486.22,United Kingdom,0
33,4,971.76,United Kingdom,0
49,4,1741.22,United Kingdom,0
95,4,1201.06,United Kingdom,1
9,4,1429.35,United Kingdom,0
22,1,91.8,United Kingdom,0
313,1,112.75,United Kingdom,1
122,4,1688.29,United Kingdom,1
46,2,1021.48,United Kingdom,0
283,1,417.2,United Kingdom,1
19,4,784.37,United Kingdom,0
36,4,1299.59,United Kingdom,0
64,2,712.88,United Kingdom,0
27,1,108.81,United Kingdom,0
22,3,424.90999999999997,United Kingdom,0
4,2,353.65,United Kingdom,0
16,3,2685.77,United Kingdom,0
46,1,478.49,United Kingdom,0
65,1,282.45,United Kingdom,0
26,11,5725.47,United Kingdom,0
45,1,121.18,United Kingdom,0
8,9,3957.78,United Kingdom,0
15,10,1665.59,United Kingdom,0
268,1,71.4,United Kingdom,1
40,3,1584.39,United Kingdom,0
337,1,236.02,United Kingdom,1
11,1,114.55000000000001,United Kingdom,0
19,2,268.68,United Kingdom,0
95,2,911.94,United Kingdom,1
61,1,110.08,United Kingdom,0
136,1,60.7,United Kingdom,1
11,4,1768.78,United Kingdom,0
10,6,3351.2400000000002,United Kingdom,0
4,38,8922.59,United Kingdom,0
19,4,870.09,United Kingdom,0
10,4,844.46,United Kingdom,0
15,2,250.26000000000002,United Kingdom,0
59,6,1217.65,United Kingdom,0
30,8,5887.61,United Kingdom,0
94,1,353.48,United Kingdom,1
10,3,1095.42,United Kingdom,0
20,3,766.73,United Kingdom,0
57,5,1500.58,United Kingdom,0
268,1,333.74,United Kingdom,1
122,3,533.98,United Kingdom,1
127,1,62.63999999999999,United Kingdom,1
78,4,819.2900000000001,United Kingdom,0
240,2,847.41,United Kingdom,1
200,2,163.20000000000002,United Kingdom,1
60,2,2135.07,United Kingdom,0
3,7,5649.12,United Kingdom,0
273,1,108.21000000000001,United Kingdom,1
202,1,257.7,United Kingdom,1
81,1,358.0,United Kingdom,0
226,1,160.95,United Kingdom,1
4,14,2735.27,United Kingdom,0
13,7,1318.35,United Kingdom,0
74,2,605.12,United Kingdom,0
212,1,1027.07,United Kingdom,1
25,2,742.85,United Kingdom,0
17,4,690.6800000000001,United Kingdom,0
262,1,329.56,United Kingdom,1
96,4,663.65,United Kingdom,1
112,3,270.40000000000003,United Kingdom,1
203,1,585.12,United Kingdom,1
93,1,121.74000000000001,United Kingdom,1
51,1,430.5,United Kingdom,0
18,6,1961.52,United Kingdom,0
18,4,501.12,United Kingdom,0
125,2,465.68,United Kingdom,1
92,3,660.53,United Kingdom,1
157,2,985.76,United Kingdom,1
9,2,399.51,United Kingdom,0
12,3,672.83,United Kingdom,0
62,1,283.18,United Kingdom,0
61,1,557.62,United Kingdom,0
269,2,944.1,United Kingdom,1
263,1,200.29,United Kingdom,1
1,35,7431.18,United Kingdom,0
53,5,2038.66,United Kingdom,0
11,12,3728.1,United Kingdom,0
3,19,4521.49,United Kingdom,0
18,11,3149.75,United Kingdom,0
1,15,5343.28,United Kingdom,0
366,1,354.0,United Kingdom,1
37,1,211.49,United Kingdom,0
31,2,276.56,United Kingdom,0
113,1,138.98,United Kingdom,1
64,2,590.9300000000001,United Kingdom,0
16,4,258.4,United Kingdom,0
41,1,542.73,United Kingdom,0
78,1,137.75,United Kingdom,0
122,3,798.46,United Kingdom,1
18,3,1132.14,United Kingdom,0
60,2,93.66,United Kingdom,0
331,1,201.19,United Kingdom,1
23,4,2703.12,United Kingdom,0
156,1,361.11,United Kingdom,1
39,2,578.9399999999999,United Kingdom,0
190,2,873.74,United Kingdom,1
360,1,201.20000000000002,United Kingdom,1
137,1,87.4,United Kingdom,1
8,4,2089.85,United Kingdom,0
1,1,360.0,United Kingdom,0
268,1,142.5,United Kingdom,1
169,1,371.89,United Kingdom,1
104,4,618.33,United Kingdom,1
155,1,63.75,United Kingdom,1
351,1,300.42,United Kingdom,1
4,10,2000.86,United Kingdom,0
120,1,15.0,United Kingdom,1
23,3,1350.23,United Kingdom,0
7,5,1456.79,United Kingdom,0
28,3,1132.03,United Kingdom,0
4,2,596.57,United Kingdom,0
22,5,1555.32,United Kingdom,0
2,3,775.94,United Kingdom,0
37,4,5045.81,United Kingdom,0
66,6,2268.68,United Kingdom,0
1,3,640.76,United Kingdom,0
5,26,10829.550000000001,United Kingdom,0
78,4,1532.2,United Kingdom,0
72,2,509.36,United Kingdom,0
17,1,199.48000000000002,United Kingdom,0
3,5,787.85,United Kingdom,0
36,10,6708.51,United Kingdom,0
82,1,675.3,United Kingdom,0
39,8,3627.77,United Kingdom,0
316,1,1264.08,United Kingdom,1
32,2,789.0,United Kingdom,0
93,3,1140.93,United Kingdom,1
14,1,350.9,United Kingdom,0
82,3,3502.32,United Kingdom,0
77,1,795.12,United Kingdom,0
158,1,451.92,United Kingdom,1
201,1,856.12,United Kingdom,1
45,7,10259.04,United Kingdom,0
261,1,773.85,United Kingdom,1
178,1,318.38,United Kingdom,1
68,3,2175.59,United Kingdom,0
288,1,354.45,United Kingdom,1
70,1,306.31,United Kingdom,0
64,1,233.76,United Kingdom,0
11,1,212.27,United Kingdom,0
16,2,874.02,United Kingdom,0
66,1,338.89,United Kingdom,0
60,1,362.92999999999995,United Kingdom,0
71,1,743.53,United Kingdom,0
122,1,674.7,United Kingdom,1
80,1,766.24,United Kingdom,0
257,1,608.4,United Kingdom,1
269,1,403.98,United Kingdom,1
64,1,404.51,United Kingdom,0
9,4,3090.7400000000002,United Kingdom,0
18,2,922.4,United Kingdom,0
71,1,134.95999999999998,United Kingdom,0
34,2,2217.37,United Kingdom,0
50,1,46.800000000000004,United Kingdom,0
257,2,584.35,United Kingdom,1
366,1,273.23,United Kingdom,1
372,1,754.87,United Kingdom,1
90,1,343.59000000000003,United Kingdom,0
61,3,3312.25,United Kingdom,0
89,1,778.65,United Kingdom,0
99,3,914.61,United Kingdom,1
26,3,572.56,United Kingdom,0
32,6,3639.31,United Kingdom,0
281,1,222.99,United Kingdom,1
31,7,4015.05,United Kingdom,0
330,1,514.57,United Kingdom,1
131,2,642.1,United Kingdom,1
11,3,797.91,United Kingdom,0
75,1,544.08,United Kingdom,0
204,1,59.8,United Kingdom,1
2,8,2524.82,United Kingdom,0
185,1,311.0,United Kingdom,1
29,2,1350.94,United Kingdom,0
73,5,1536.13,United Kingdom,0
192,1,457.34,United Kingdom,1
127,2,621.23,United Kingdom,1
18,1,75.0,United Kingdom,0
1,2,252.49,United Kingdom,0
74,3,572.52,United Kingdom,0
2,62,27698.68,United Kingdom,0
24,5,1003.06,United Kingdom,0
107,1,213.55,United Kingdom,1
134,3,732.9,United Kingdom,1
44,2,712.5,United Kingdom,0
5,2,640.83,United Kingdom,0
12,18,5910.63,United Kingdom,0
64,1,221.06,United Kingdom,0
150,2,159.85,United Kingdom,1
40,2,1833.71,United Kingdom,0
64,1,2624.3,United Kingdom,0
108,3,1624.16,United Kingdom,1
1,10,3641.32,United Kingdom,0
19,3,582.6,United Kingdom,0
10,1,201.78,United Kingdom,0
11,4,1006.8,United Kingdom,0
19,2,684.25,United Kingdom,0
67,2,1269.1,United Kingdom,0
74,2,534.24,United Kingdom,0
5,7,3804.13,United Kingdom,0
2,1,194.89,United Kingdom,0
14,7,3355.06,United Kingdom,0
255,1,283.71,United Kingdom,1
92,1,296.64,United Kingdom,1
23,3,1127.44,United Kingdom,0
17,6,3532.69,United Kingdom,0
24,1,291.88,United Kingdom,0
27,6,2026.4399999999998,United Kingdom,0
26,5,2898.2599999999998,United Kingdom,0
259,2,29.9,United Kingdom,1
166,2,356.97999999999996,United Kingdom,1
25,2,1058.34,United Kingdom,0
18,6,1762.67,United Kingdom,0
7,14,9646.57,United Kingdom,0
29,2,183.44,United Kingdom,0
39,3,1445.0,United Kingdom,0
253,1,151.5,United Kingdom,1
58,1,672.68,United Kingdom,0
184,1,307.9,United Kingdom,1
11,2,1071.91,United Kingdom,0
2,37,5702.97,United Kingdom,0
99,2,165.0,United Kingdom,1
1,4,2497.84,United Kingdom,0
61,2,422.64,United Kingdom,0
236,1,226.84,United Kingdom,1
191,4,1421.78,United Kingdom,1
179,2,1016.37,United Kingdom,1
38,6,1454.58,United Kingdom,0
